FieldNumber,Priority,TAG,FieldName,Category,DataType,Definition,Guidance
AR36,Mandatory,dynamic,Bankruptcy or Individual Voluntary Arrangement Flag,Borrower Information,Y / N / ND,Flag to identify if borrower has been bankrupt or had an Individual Voluntary Arrangement (IVA) or equivalent.,"Relates to primary borrower only. To be updated on a monthly basis. If updated Bankruptcy data are not regularly collected, BoE does not expect you to start collecting this. However, where data are available or you are notified of a borrower bankruptcy, this should be reported in the relevant fields."
AR37,Optional,static,Bureau Krediet Registratie 1 to 10 - Credit Type,Borrower Information,List,Credit type according to the coding of Bureau Krediet Registratie (BKR) (Netherlands only) AK - Loans which have to pay back in a predefined period RK - Loans with a maximum credit amount SR - Loan with the aim to re-arrange previous credits VK - Credit maximum with respect to goods ordered with mail-order companies HY - mortgage loans TC - telecom credits RO - Other credit ND - No Data,Relates to primary borrower only
AR38,Optional,static,Bureau Krediet Registratie 1 to 10- Registration Date,Borrower Information,Date,Registration date of the BKR,Relates to primary borrower only
AR39,Optional,static,Bureau Krediet Registratie 1 to 10 - Arrears Code,Borrower Information,List,Arrears code according to the coding of Bureau Krediet Registratie (BKR) (Netherlands only) A - arrears AH - arrears repaid A1 - settlement reached A2 - remaining outstanding is summoned A3 - an amount > Euro 250 is depreciated A4 - person disappeared ND - No Data,Relates to primary borrower only
AR40,Optional,static,Bureau Krediet Registratie 1 to 10 - Credit Amount,Borrower Information,Numeric,Amount of the credit (Netherlands only),Relates to primary borrower only
AR41,Optional,static,Bureau Krediet Registratie 1 to 10 - Is Coding Cured?,Borrower Information,Y / N / ND,Is the coding with BKR cured? (Netherlands only),Relates to primary borrower only
AR42,Optional,static,Bureau Krediet Registratie 1 to 10 - Number of Months Since Cured,Borrower Information,Numeric,"If the coding is cured, number of months since it is cured (Netherlands only)",Relates to primary borrower only
AR43,Mandatory,dynamic,Bureau Score Provider,Borrower Information,List,Who has provided the score. For continental Europe give name of provider: Callcredit (1) Experian (2) Equifax (3) Schufa (4) Bureau Krediet Registratie (BKR) (5) Internal Score (6) Other (7) No Data (ND),Relates to primary borrower only
AR44,Mandatory,dynamic,Bureau Score Type,Borrower Information,List,Type of scorecard provided: Generation 8 B&F AAM - DCM (Experian) (1) Generation 8 B&F CRS - DCM (Experian) (2) Generation 7 Mortgage PD Score - DCM (Experian) (3) FSC109 - Risk Navigator (Equifax) (4) RNILF02 - Risk Navigator (Equifax) (5) RNISF02 - Risk Navigator (Equifax) (6) Internal Scorecard (7) Other (8) No Data (ND),Relates to primary borrower only
AR45,Mandatory,dynamic,Bureau Score Date,Borrower Information,Date,The date of the bureau score for this borrower,Relates to primary borrower only. Should be the date on which the most recent score was provided
AR46,Mandatory,dynamic,Bureau Score Value,Borrower Information,Text/Numeric,Borrower's score: >0 Regular Score -999 CAIS for mortgage not available -998 Notice of Correction or Notice of Dispute 0 Bankruptcy Restriction Order or Bankruptcy Restriction Undertaking ND - No Data,Relates to primary borrower only. Should be the most recent score provided
AR47,Optional,static,Prior Repossessions,Borrower Information,Y / N / ND,Indicator of prior repossessions resulting from a borrower defaulting on a previous mortgage loan,Relates to primary borrower only
AR48,Optional,static,Previous Mortgage Arrears 0-6 Months,Borrower Information,Numeric / ND,Number of payments missed on previous mortgage in the prior 0-6 months (information as at underwriting). If no data available specify No Data (ND),Relates to primary borrower only
AR49,Optional,static,Previous Mortgage Arrears 6+ Months,Borrower Information,Numeric / ND,"Number of payments missed on previous mortgage in the prior months, greater or equal than 6 months (information as at underwriting) If no data available specify No Data (ND)",Relates to primary borrower only
AR50,Optional,dynamic,Internal Rating,Borrower Information,Text/Numeric,"Populate with data on the Bank Internal Rating, the one year PD.",This is requested on a ‘comply or explain basis’ – noting this may not be available for those not on IRB.
AR51,,,Blank,Borrower Information,,nan,nan
AR52,,,Blank,Borrower Information,,nan,nan
AR53,,,Blank,Borrower Information,,nan,nan
AR54,,,Blank,Borrower Information,,nan,nan
AR55,Mandatory,static,Loan Origination Date,Loan Characteristics,Date,Date of original loan advance,"For RMBS securitisations, quarter of origination should be used. For portfolios of raw loans, full date should be reported."
AR56,Mandatory,dynamic,Date of Loan Maturity,Loan Characteristics,Date,The date of loan maturity,nan
AR57,Mandatory,static,Account Status Date,Loan Characteristics,Date,Date which account came into securitised portfolio (important for replenishable pools),The date on which the loan was sold into the portfolio
AR58,Mandatory,static,Origination Channel / Arranging Bank or Division,Loan Characteristics,Text,"Origination channel, arranging bank or division for the loan: Office / branch network (1) Central / Direct (2) Broker (3) Internet (4) Packager (5) No Data (ND)",nan
AR59,Mandatory,static,Purpose,Loan Characteristics,List,Loan purpose. Permissible answers: Purchase (1) Re-mortgage (2) Renovation (3) Equity release (4) Construction (5) Debt consolidation (6) Other (7) Re-mortgage with Equity Release (8) Re-mortgage on Different Terms (9) Combination Mortgage (10) Investment Mortgage (11) Right to Buy (12) Government Sponsored Loan (13) SCPI (14) Besson (15) Perissol (16) DOM (Défiscalisation Métrople) (17) Other (18) No Data (ND),If the loan purpose could be classified in more than one category (e.g.. an investment mortgage could be a re-mortgage or a debt consolidation) the Issuer may choose the field considered most relevant to the loan or add to the list and provide clarification in the reporting glossary
AR60,Mandatory,static,Shared Ownership,Loan Characteristics,List,Shared Ownership flag: Not Shared Ownership (1) Central Government Scheme (2) Local Government Scheme (3) Housing Associations (4) Building Developers (5) Other (6) No Data (ND),"This field is now mandatory and should be completed for all pools. In addition, list types 2-6 should be completed for Shared Equity loans."
AR61,Mandatory,static,Loan Term,Loan Characteristics,Numeric,Original contractual term (number of months),nan
AR62,Optional,static,Principal Grace Period,Loan Characteristics,Numeric,"Period, in months, from the origination date of the loan during which only interest and no principal is payable. After this period the loan switches to both interest and principal payments. If no data available specify No Data (ND)",nan
AR63,Optional,static,Amount Guaranteed,Loan Characteristics,Numeric,The amount of loan guaranteed If no data available specify No Data (ND),nan
AR64,Optional,static,Subsidy,Loan Characteristics,Y/N,Is the loan repayment subsidised by an external party? If no data available specify No Data (ND),nan
AR65,Mandatory,static,Loan Currency Denomination ,Loan Characteristics,Text/Numeric,Loan currency denomination: EUR (1) GBP (2) USD (3) ANG (4) BGN (5) CYP (6) CZK (7) DKK (8) EEK (9) HUF (10) LTL (11) LVL (12) MTL (13) PLN (14) RON (15) SEK (16) No Data (ND),nan
AR66,Mandatory,static,Original Balance,Loan Characteristics,Numeric,Original loan balance (inclusive of fees),"To the extent original balance does not include fees this would be considered acceptable, though the reporting glossary should make this clear"
AR67,Mandatory,dynamic,Current Balance,Loan Characteristics,Numeric,"Amount of loan outstanding as of pool cut off date, This should include any amounts that are secured by the mortgage and will be classed as principal in the transaction. For example if fees have been added to the loan balance and are part of the principal in the transaction these should be added. Excluding any interest arrears or penalty amounts.","For portfolios of raw loans: this should include any amounts that are secured by the mortgage and will be classed as principal. For example if fees have been added to the loan balance and are part of the principal in the transaction these should be added. It should exclude any interest arrears or penalty amounts. For RMBS securitisations: to the extent original balance does not include fees this would be considered acceptable, though the reporting glossary should make this clear."
AR68,Optional,static,Fractioned / Subrogated Loans,Loan Characteristics,Text / ND,Mortgage loans first taken out by the real estate developer and then “split” into new individual owners. If no data available specify No Data (ND),nan
AR69,Mandatory,static,Repayment Method,Loan Characteristics,List,Type of principal repayment: Interest Only (1) Repayment (2) Endowment (3) Pension (4) ISA/PEP (5) Index-Linked (6) Part & Part (7) Savings Mortgage (8) Other (9) No Data (ND),If the repayment method could be classified in more than one category the Issuer should choose the field considered most relevant to the loan or add to the list and provide clarification of the additional classifications in the reporting glossary
AR70,Mandatory,static,Payment Frequency,Loan Characteristics,List,"Frequency of payments due, i.e. number of months between payments: Monthly (1) Quarterly (2) Semi annually (3) Annual (4) Bullet (5) Other (6) No Data (ND)",nan
AR71,Mandatory,dynamic,Payment Due,Loan Characteristics,Numeric,Periodic contractual payment due (the payment due if there are no other payment arrangements in force),nan
AR72,Mandatory,static,Payment Type,Loan Characteristics,List,Principal payment type: Annuity (1) Linear (2) Increasing instalments (3) Fixed instalments (changing maturity) with structural protection (4) Fixed instalments (changing maturity) without structural protection (5) Bullet (6) Bullet + Savings deposit (7) Bullet + Life insurance (8) Bullet + Investment portfolio (9) Bi-annual (10) Tri-annual (11) Offset mortgage (12) Other (13) No Data (ND),nan
AR73,Optional,static,Debt to Income,Loan Characteristics,Numeric,"Debt to Income (DTI) ratio with definition and calculation. For combined income. Debt defined as the Amount of loan outstanding as of pool cut off date, This should include any amounts that are secured by the mortgage and will be classed as principal in the transaction. For example if fees have been added to the loan balance and are part of the principal in the transaction these should be added. Excluding any interest arrears or penalty amounts. Income defined as combined income, sum of primary and secondary income fields (field numbers 34 and 35)","This should be the combined debt to income ratio as at origination of the loan. Percentage, to be reported in decimal format."
AR74,Optional,static,Type of Guarantee Provider,Loan Characteristics,List,"Indicate guarantee provider, if applicable: No Guarantor (1) Individual - Family Relation (2) Individual - Other (3) Government (4) Bank (5) Insurance Product (6) Nationale Hypotheek Garantie (NHG) Guarantee Scheme (Netherlands) (7) Fonds de Garantie de l'Accession Sociale (FGAS) (8) Caution (France) (9) Other (10) No Data (ND)",nan
AR75,Optional,static,Guarantee Provider,Loan Characteristics,Text,Name of guarantee provider,nan
AR76,Optional,static,Income Guarantor,Loan Characteristics,Numeric,Income of guarantor of borrower (e.g. income of parents if co-signed),nan
AR77,Optional,dynamic,Subsidy Received,Loan Characteristics,Numeric,Amount of subsidy received from government by borrower,"Any subsidy provided by a third party should be included in this field, with details of the party providing the subsidy explained in the reporting glossary"
AR78,Mandatory,static,Mortgage Indemnity Guarantee Provider,Loan Characteristics,Text,Name of Mortgage Indemnity Guarantee (MIG) provider if applicable,Mandatory where applicable (i.e.. if the underlying mortgage benefits from a MIG and that benefit is sold into the transaction). Mandatory for Help to Buy loans.
AR79,Mandatory,static,Mortgage Indemnity Guarantee Attachment Point,Loan Characteristics,Numeric,MIG attachment point - LTV percentage above which losses are insured,Mandatory where applicable (i.e.. if the underlying mortgage benefits from a MIG and that benefit is sold into the transaction). Mandatory for Help to Buy loans.
AR80,Optional,dynamic,Prior Balances,Loan Characteristics,Numeric,Total balances ranking prior to this loan (including those held with other lenders),nan
AR81,Optional,dynamic,Other Prior Balances,Loan Characteristics,Numeric,Total balance ranking prior to this loan held with other lenders (sub-set of Prior Balances),nan
AR82,Optional,dynamic,Pari Passu Loans,Loan Characteristics,Numeric,Total value of loans ranking pari passu with loan (not included in this pool),nan
AR83,Optional,dynamic,Subordinated Claims,Loan Characteristics,Numeric,Total value of loans with claims subordinated to this loan (not in this pool),nan
AR84,Mandatory,static,Lien,Loan Characteristics,List,Seniority on liquidation of property: 1st Lien (1) 2nd Lien (2) 3rd Lien (3) Other (4) No Data (ND),nan
AR85,Optional,dynamic,Retained Amount,Loan Characteristics,Numeric,"Amount the Issuer will be obliged to fund to the borrower at a later date, for example construction deposit",nan
AR86,Optional,dynamic,Retained Amount Date,Loan Characteristics,Date,"Date when the retained amount is to be drawn by. If available until the maturity date, enter the maturity date here.",nan
AR87,Mandatory,dynamic,Maximum Balance,Loan Characteristics,Numeric,For loans with flexible re-draw facilities – the maximum loan amount that could potentially be outstanding i.e. Current Balance adjusted for flexible features or committed further lending (reunderwritten further advances are not within scope).,Use AR90.
AR88,Mandatory,dynamic,Further Loan Advance,Loan Characteristics,Numeric,"Total value of further advances made on loan. If several further advances have been made list all advances (if available), comma delimited",Complete using non-negative numbers.
AR89,Optional,dynamic,Further Loan Advance Date,Loan Characteristics,Date,"Date last further advance was made. If several further advances have been made list all advance dates (if available), comma delimited",nan
AR90,Mandatory,static,Flexible Loan Amount,Loan Characteristics,Numeric,Current obligated amount (scheduled/unscheduled repayments) which can be drawn under the flexible loan by the borrower. Please provide details on the definition of the flexible loan amount. If loan is not flexible enter 0.,"Indicate the total amount which the borrower is entitled to draw on the loan without any additional review, underwriting or credit checks (i.e.. the loan limit). This may be a dynamic field."
AR91,Mandatory,static,Further Advances,Loan Characteristics,Y / N / ND,Possibility to have further advances i.e. advances above the original loan balance,"This should reference the possibility to take further advances on the loan without any additional review, underwriting or credit checks"
AR92,Optional,static,Length of Payment Holiday,Loan Characteristics,Text/Numeric,"The length of any payment holidays allowed, in months. If payment holidays not allowed enter 0",This should be completed where the loan terms permit a payment holiday (excluding payment holidays that are funded by overpayments on flexible loans and non-payment arrears concessions) and should represent the maximum number of months such payment holidays are permitted
AR93,Optional,dynamic,Subsidy Period,Loan Characteristics,Numeric,Number of months until end of subsidy period,nan
AR94,Optional,static,Mortgage Inscription,Loan Characteristics,Numeric,Actual amount of mortgage inscription for the loan,nan
AR95,Optional,static,Mortgage Mandate,Loan Characteristics,Numeric,Amount of mortgage mandate that can be converted into a proper mortgage at a later stage,nan
AR96,Optional,dynamic,Deed of Postponement?,Loan Characteristics,Y / N / ND,"If the loan is Right-to-Buy, whether a Deed of Postponement has been issued",A 'Y' would indicate that appropriate steps have been taken to ensure the lender's priority over the total loan amount
AR97,Mandatory,dynamic,Pre-payment Amount,Loan Characteristics,Numeric,Last pre-payment amount,Pre-payments definitions should be provided in the reporting glossary. Complete using non-negative numbers.
AR98,Optional,dynamic,Pre-payment Date,Loan Characteristics,Date,Last pre-payment date,nan
AR99,Optional,dynamic,Pre-payment Penalties,Loan Characteristics,Numeric,Cumulative amount of pre-payment penalties paid to date,nan
AR100,Mandatory,dynamic,Cumulative Pre-payments,Loan Characteristics,Numeric,Cumulative amount of pre-payments to date,Pre-payments definitions should be provided in the reporting glossary
AR101,Optional,dynamic,Amount of pre-payments allowed per year,Loan Characteristics,Numeric,Percentage amount of pre-payments allowed under the product per year. This is for mortgages that allow a certain threshold of pre-payments (i.e. 10%) before charges are incurred,"Percentage, to be reported in decimal format."
AR102,Mandatory,dynamic,Offset Savings Balance,Loan Characteristics,Numeric,"For offset mortgage products, this field must be completed with the offset savings balance for the linked account.",nan
AR103,Mandatory,static,Original Percentage Owned,Loan Characteristics,Numeric,"For shared ownership or shared equity products, the original percentage owned by the borrower must be populated in this field as a decimal (e.g. 50% should be shown as 0.50).","Percentage, to be reported in decimal format."
AR104,Mandatory,dynamic,Current Percentage Owned,Loan Characteristics,Numeric,"For shared ownership or shared equity products, the current percentage owned by the borrower must be populated in this field as a decimal (e.g. 50% should be shown as 0.50).","Percentage, to be reported in decimal format."
AR105,Mandatory,static,Help to Buy Scheme Type,Loan Characteristics,List,"For Help to Buy loans, the complete the field by selecting from the following list: Help to Buy 1 (Equity) (1) Help to Buy 2 (MIG) (2) Other (3) No or not applicable (4)",nan
AR106,,,Blank,Loan Characteristics,,nan,nan
AR107,Mandatory,static,Interest Rate Type,Interest Rate,List,"Interest rate type: Floating rate loan (for life) (1) Floating rate loan linked to Libor, Euribor, BoE reverting to the Bank's standard variable rate (SVR), ECB reverting to Bank’s SVR (2) Fixed rate loan (for life) (3) Fixed with future periodic resets (4) Fixed rate loan with compulsory future switch to floating (5) Capped (6) Discount (7) Other (8) No Data (ND)",Issuers should provide the applicable current rate
AR108,Mandatory,dynamic,Current Interest Rate Index,Interest Rate,List,Current interest rate index (the reference rate off which the mortgage interest rate is set): 1 month LIBOR (1) 1 month EURIBOR (2) 3 month LIBOR (3) 3 month EURIBOR (4) 6 month LIBOR (5) 6 month EURIBOR (6) 12 month LIBOR (7) 12 month EURIBOR (8) BoE Base Rate (9) ECB Base Rate (10) Standard Variable Rate (11) Other (12) No Data (ND),nan
AR109,Mandatory,dynamic,Current Interest Rate,Interest Rate,Numeric,Current interest rate (%).,"Percentage, to be reported in decimal format."
AR110,Mandatory,dynamic,Current Interest Rate Margin,Interest Rate,Numeric,"Current interest rate margin (for fixed rate loans this is the same as the current interest rate, for floating rate loans this is the margin over (or under if input as a negative) the index rate","Percentage, to be reported in decimal format."
AR111,Mandatory,dynamic,Interest Rate Reset Interval,Interest Rate,Numeric,The interval in months at which the interest rate is adjusted (for floating loans),nan
AR112,Mandatory,static,Interest Cap Rate,Interest Rate,Numeric,Interest rate cap (%).,"If the interest rate cap is linked to a floating rate (e.g.. BOE + 4%) then the current cap (i.e. taking into account the index) should be provided. Percentage, to be reported in decimal format."
AR113,Mandatory,dynamic,Interest Revision Date 1,Interest Rate,Date / ND,"Date interest rate next changes (e.g. discount margin changes, fixed period ends, loan re-fixed etc. this is not the next LIBOR reset date)",nan
AR114,Mandatory,dynamic,Revision Margin 2,Interest Rate,Numeric,The margin for the loan at the 2nd revision date,"Percentage, to be reported in decimal format."
AR115,Mandatory,dynamic,Interest Revision Date 2,Interest Rate,Date / ND,Date of 2nd interest rate change,nan
AR116,Mandatory,dynamic,Revision Margin 3,Interest Rate,Numeric,The margin for the loan at the 3rd revision date,"Percentage, to be reported in decimal format."
AR117,Mandatory,dynamic,Interest Revision Date 3,Interest Rate,Date / ND,Date of 3rd interest rate change,nan
AR118,Mandatory,dynamic,Revised Interest Rate Index,Interest Rate,List,Next interest rate index. Using codes as per field AR108,nan
AR119,Mandatory,dynamic,Revised Interest Rate Margin,Interest Rate,Numeric,Next interest rate margin,"Percentage, to be reported in decimal format."
AR120,Mandatory,static,Final Margin,Interest Rate,Numeric,The margin for the loan at the final step date,"Percentage, to be reported in decimal format."
AR121,Mandatory,static,Final Step Date,Interest Rate,Date,The date of the final margin adjustment,nan
AR122,Mandatory,static,Restructuring Arrangement,Interest Rate,Y / N / ND,Has the loan been restructured?,"A restructuring would include any change to the terms of the loan since it was added to the portfolio. This would include, for example, a maturity extension, a change to the required minimum monthly payments which is not the result of interest rate changes, a change to the repayment basis of the loan, arrears capitalisations etc. Details of the types of restructuring should be provided in the reporting glossary."
AR123,Mandatory,dynamic,Forbearance Type,Interest Rate,List,This field should be populated with Forbearance Type for loans currently subject to a forbearance arrangement. This field should be populated in conjunction with Restructuring Arrangement (AR122) and Performance Arrangement Date (AR173). With the following list type: Term extension (including maturity roll over for interest only loans) (1) Temporary transfer to IO (2) Permanent transfer to IO (3) Arrears capitalisation (4) Payment arrangement (5) Non contractual payment holiday (6) Other (7) Multiple forbearance options exercised (8) Not in forbearance (9),nan
AR124,,,Blank,Interest Rate,,nan,nan
AR125,,,Blank,Interest Rate,,nan,nan
AR126,,,Blank,Interest Rate,,nan,nan
AR127,,,Blank,Interest Rate,,nan,nan
AR128,Mandatory,static,Geographic Region,Property & Collateral,List,The region description of where the property is located.,This should be the International Territorial Levels (ITLs) 1 classification. See ONS Open Geography Portal for relevant choices.
AR129,Optional,static,Property Postcode ,Property & Collateral,Text,First 2 or 3 characters must be provided at a minimum. Do not supply the full postcode.,"For RMBS transactions, the Bank would accept the first 1 or 2 characters. For raw loan pools, the out-code is required. This must be a maximum of three characters, except where outcodes are four characters long."
AR130,Mandatory,static,Occupancy Type,Property & Collateral,List,Type of property occupancy: Owner-occupied (1) Partially owner-occupied (A property which is partly rented) (2) Non-owner-occupied/buy-to-let (3) Holiday/second home (4) No Data (ND),nan
AR131,Mandatory,static,Property Type,Property & Collateral,List,"Property type: Residential (House, detached or semi-detached) (1) Residential (Flat/Apartment) (2) Residential (Bungalow) (3) Residential (Terraced House) (4) Multifamily house (properties with more than four units securing one loan) with recourse to the borrower (5) Multifamily house without recourse to the borrower (6) Partially commercial use (property is used as a residence as well as for commercial use where less than 50% of its value derived from commercial use, e.g. doctor’s surgery and house) (7) Commercial/business use with recourse to the borrower (8) Commercial/business use without recourse to the borrower (9) Land Only (10) Other (11) No Data (ND)",nan
AR132,Optional,static,New Property,Property & Collateral,List,New property specifications: New build (1) Existing building (2) Other (3) No Data (ND),nan
AR133,Optional,static,Construction Year,Property & Collateral,Numeric,"Indicate the year when the property was originally built (YYYY format). In the case of a conversion of a building into flats, the date of conversion should be supplied","N.B, Year of construction, not full date."
AR134,Optional,static,Property Rating,Property & Collateral,Text / ND,Internal rating of property or credit scoring of property,nan
AR135,Mandatory,static,Original Loan to Value,Property & Collateral,Numeric,Originator’s original underwritten Loan To Value ratio (LTV). For 2nd lien loans this should be the combined or total LTV.,"Percentage, to be reported in decimal format."
AR136,Mandatory,static,Valuation Amount,Property & Collateral,Numeric,Property value as of date of latest loan advance prior to a securitisation. Valuation amounts should be in the same currency as the loan (field AR65).,"For portfolios of raw loans, this should be the valuation amount at the last full valuation (not indexed)."
